category_name,order_region,velocity_class,service_level_target,mean_weekly_demand,std_weekly_demand,mean_lead_time,unit_cost,total_qty,sigma_dlt,mean_dlt,ideal_safety_stock,reorder_point,baseline_ss,optimized_safety_stock,funded_pct,holding_cost_current,holding_cost_optimized
Accessories,Canada,slow,0.95,5.111111111111111,3.982601048449507,2.4285714285714284,24.98999977,46,2.5908750426145626,1.7732426303854874,4.261610210822614,6.034852841208101,2.556966126493568,3.130181925882019,0.7345068579788773,0.24576378043450792,0.30085863695326853
Accessories,Caribbean,medium,0.95,6.666666666666667,3.0686587732536617,2.72,24.98999977,220,2.298948353242808,2.590476190476191,3.7814335370055474,6.3719097274817385,2.2688601222033284,2.770252066800964,0.7325930866405441,0.2180723612770129,0.26626384043153123
Accessories,Central Africa,slow,0.95,5.230769230769231,2.9482719841133536,2.8095238095238093,24.98999977,68,2.3227658018916157,2.0994243851386707,3.820609753800269,5.92003413893894,2.2923658522801613,2.8262315400502542,0.7397331112498652,0.22033162354321956,0.2716443289839331
Accessories,Central America,fast,0.99,22.805555555555557,9.371139416754719,2.892857142857143,24.98999977,821,7.6427552841966255,9.424744897959185,17.77970750720522,27.204452405164403,10.667824504323132,9.307380037344842,0.5234833044116743,1.025342045805521,0.8945824038175008
Accessories,East Africa,slow,0.95,4.714285714285714,3.291681156364455,3.15,24.98999977,66,2.4662796263513007,2.1214285714285714,4.0566689884804585,6.17809755990903,2.434001393088275,2.974637938895286,0.7332710525167896,0.23394497789790647,0.28590846695702493
Accessories,East of USA,medium,0.95,11.285714285714286,7.043740889206935,2.9358974358974357,24.98999977,237,5.163522726261598,4.73338566195709,8.493239084137743,13.226624746094833,5.095943450482646,6.2354254442465225,0.7341634189825188,0.48979856021343976,0.5993203092983568
Accessories,Eastern Asia,medium,0.95,9.047619047619047,4.488609923753573,2.5714285714285716,24.98999977,190,3.5674780130316432,3.3236151603498545,5.8679791488047295,9.191594309154585,3.5207874892828377,4.299816533629641,0.7327593409232694,0.3384018405669115,0.41327851610171895
Accessories,Eastern Europe,medium,0.95,9.11111111111111,6.406695843723731,3.1372549019607843,24.989999770000004,164,4.967704287929083,4.083411142234672,8.171146415622532,12.254557557857204,4.902687849373519,6.077121894364034,0.7437294089780472,0.4712237239547157,0.5841049028554586
Accessories,North Africa,medium,0.95,7.368421052631579,4.560829923450695,2.5365853658536586,24.98999977,140,2.960286965667214,2.670089858793325,4.869238752294885,7.5393286110882105,2.921543251376931,3.6034780963283257,0.7400495805694467,0.28080525069213297,0.3463496799940189
Accessories,Northern Europe,medium,0.95,8.238095238095237,5.8472622816559365,3.0689655172413794,24.98999977,173,4.323631127978061,3.6117757447806706,7.111740342454998,10.72351608723567,4.267044205472999,5.2804134993008125,0.742492448406517,0.4101285912051927,0.5075289697424316
Accessories,Oceania,medium,0.95,13.727272727272727,10.250118782967107,2.6826923076923075,24.98999977,302,6.954352091420849,5.260864135864135,11.43889126067114,16.699755396535274,6.863334756402684,8.405000757131699,0.7347740760531158,0.6596720537843695,0.8078498730291191
Accessories,South America,medium,0.99,12.857142857142858,8.447564414540745,3.026666666666667,24.98999977,450,6.184794592199787,5.559183673469389,14.387983750943263,19.94716742441265,8.632790250565957,7.534700025644737,0.5236800483007752,0.8297439476003905,0.7242005842610807
Accessories,South Asia,medium,0.95,7.588235294117647,5.747819861049946,2.768292682926829,24.98999977,258,3.943085494500072,3.0009223201475708,6.485798477008182,9.486720797155753,3.8914790862049093,4.747049303115105,0.7319144003538111,0.3740310056508481,0.45626446535778903
Accessories,South of  USA ,medium,0.95,7.444444444444445,4.133396583956279,2.911111111111111,24.98999977,134,3.1516210603982135,3.095943562610229,5.183955331972647,8.279898894582876,3.110373199183588,3.8024479682839902,0.7335032277056769,0.2989547135854309,0.3654737455878996
Accessories,Southeast Asia,medium,0.95,13.954545454545455,7.631246997439589,2.869158878504673,24.98999977,307,5.556305531516677,5.719686855200875,9.139309305965734,14.858996161166608,5.48358558357944,6.690613431900151,0.7320699199372558,0.527056932586252,0.643070877401322
Accessories,Southern Africa,slow,0.95,5.9,2.64365067451978,3.25,24.98999977,59,2.2433684080103644,2.7392857142857143,3.690012662504198,6.429298376789912,2.2140075975025186,2.7288498144301543,0.7395231572398567,0.21280018981679308,0.2622844470575927
Accessories,Southern Europe,medium,0.95,9.869565217391305,5.848887600732972,2.8714285714285714,24.98999977,227,4.36208542724207,4.048535936113576,7.174992036071281,11.223527972184858,4.304995221642768,5.327976918059451,0.7425760044434592,0.4137762676873227,0.5121005459879654
Accessories,US Center ,medium,0.95,11.238095238095237,5.830135177718969,3.0113636363636362,24.98999977,236,4.344711936386889,4.834570191713048,7.146415186625329,11.980985378338378,4.287849111975197,5.2330735951954095,0.7322655427282228,0.4121282627771342,0.502978876693563
Accessories,West Africa,medium,0.95,6.7894736842105265,3.6905125715726363,3.2045454545454546,24.98999977,129,2.8289078363646194,3.108168147641832,4.653139314955786,7.761307462597618,2.7918835889734717,3.4202790113595483,0.7350476269572099,0.26834296248582246,0.32874142964311903
Accessories,West Asia,medium,0.95,11.285714285714286,6.458659745975608,2.9390243902439024,24.98999977,237,4.846574860095196,4.738427078148333,7.971906236919407,12.71033331506774,4.783143742151644,5.842510599125963,0.7328875209379897,0.4597336962163328,0.5615551481860784
Accessories,West of USA ,medium,0.95,13.5,6.021785844905542,2.9894736842105263,24.989999770000004,297,4.898263052611058,5.765413533834586,8.056925747849688,13.822339281684274,4.834155448709812,5.9130876011364055,0.7339136273800896,0.4646367059669327,0.5683386838168795
Accessories,Western Europe,fast,0.99,25.181818181818183,10.697736136284089,3.0483870967741935,24.98999977,554,8.791508488142014,10.966275659824047,20.45210708100118,31.41838274082523,12.271264248600708,10.625042522100197,0.5195084535798389,1.1794572721159267,1.0212300391674007
As Seen on  TV!,Western Europe,slow,0.99,6.4,3.438345855527367,2.9047619047619047,99.98999786,64,2.638895889374037,2.65578231292517,6.138989842060404,8.794772154985575,3.683393905236242,3.1939824796944616,0.5202781828716104,1.4165482642388805,1.2283319281135643
Baseball & Softball,Caribbean,medium,0.95,4.166666666666667,3.031238327334466,2.9696969696969697,56.95969888121212,100,2.218735567650607,1.767676767676768,3.6494952456963348,5.4171720133731025,2.189697147417801,2.71400788627766,0.7436666452650273,0.47970957753064264,0.5945733537061944
Baseball & Softball,Central America,medium,0.99,6.904761904761905,5.253614429711637,2.7155963302752295,63.88908480954128,290,3.63854449663316,2.6786494414279476,8.464520254345553,11.143169695773501,5.0787121526073316,4.454277057934911,0.5262291215675401,1.247977967081453,1.094537248921529
Baseball & Softball,East of USA,medium,0.95,6.0,4.74692883171144,2.8275862068965516,49.6451740937931,96,3.197228701798298,2.4236453201970445,5.258973226346278,7.682618546543322,3.1553839358077664,3.908907747374141,0.7432834470028082,0.6024984031766718,0.7463784832114072
Baseball & Softball,Eastern Asia,slow,0.95,4.714285714285714,2.4314785444432596,2.782608695652174,45.8595668973913,66,1.8032999157877878,1.8740017746228925,2.966164406964827,4.84016618158772,1.7796986441788962,2.172784673243028,0.7325233450111968,0.3139084962689181,0.38324216952390444
Baseball & Softball,Eastern Europe,slow,0.95,3.8333333333333335,2.587850400809463,2.875,50.61500168,46,1.8466975097277167,1.5744047619047619,3.0375470967578866,4.611951858662648,1.822528258054732,2.2541876313229467,0.742107878336749,0.35479719555110667,0.43882965671710067
Baseball & Softball,North Africa,slow,0.95,4.454545454545454,2.1148823307047775,3.066666666666667,51.65666834666667,49,1.8244523904421734,1.9515151515151516,3.0009571316190926,4.952472283134244,1.8005742789714554,2.2172686211002053,0.7388538135844455,0.35773718600910365,0.4405258069063239
Baseball & Softball,Northern Europe,slow,0.95,4.0588235294117645,2.70348359148188,2.875,64.156668665,69,1.9804390191128194,1.667016806722689,3.257532303543937,4.924549110266626,1.954519382126362,2.390717797524097,0.7339045555812863,0.48229020153231356,0.5899249600279695
Baseball & Softball,Oceania,medium,0.95,6.9411764705882355,5.628838559544213,3.1578947368421053,44.85842273263158,118,4.035833913781,3.1313578062804073,6.638356050856434,9.769713857136841,3.98301363051386,4.92954644826008,0.7425854248393479,0.6871988814900938,0.8505064556007433
Baseball & Softball,South America,medium,0.99,4.243243243243243,3.7298004519560313,2.9836065573770494,64.49819890229509,157,2.5568055500957496,1.8085954807266282,5.948019155801069,7.756614636527697,3.5688114934806414,3.1215251934955233,0.5248007969932507,0.8853150521204277,0.7743567415715362
Baseball & Softball,South Asia,slow,0.95,5.333333333333333,3.1773004414499577,3.217391304347826,46.94652341913043,80,2.657198647216042,2.451345755693582,4.370702832403852,6.822048588097434,2.6224216994423113,3.250697622910454,0.7437471151802366,0.4735137758757857,0.5869575080095278
Baseball & Softball,South of  USA ,slow,0.95,3.7142857142857144,1.8575654633281298,3.0555555555555554,46.101112791111106,52,1.5221027345065588,1.6213151927437641,2.503636203445867,4.124951396189632,1.5021817220675202,1.8357145264979684,0.7332193566986258,0.26635480385300103,0.3254941632244768
Baseball & Softball,Southeast Asia,slow,0.95,5.133333333333334,4.257206774847743,3.142857142857143,49.27571596571429,77,3.1207647132697507,2.304761904761905,5.133201157483921,7.437963062245826,3.0799206944903523,3.810191238935665,0.7422641587658452,0.5837126820716619,0.7221150048647956
