category_name,order_region,service_level_target,mean_weekly_demand,std_weekly_demand,mean_lead_time,unit_cost,total_qty,sigma_dlt,mean_dlt,ideal_safety_stock,reorder_point,baseline_ss,optimized_safety_stock,funded_pct,holding_cost_current,holding_cost_optimized
Accessories,Canada,0.95,5.111111111111111,3.982601048449507,2.4285714285714284,24.98999977,46,2.5908750426145626,1.7732426303854874,4.261610210822614,6.034852841208101,2.556966126493568,3.15968941917152,0.7414308824273276,0.24576378043450792,0.303694760993722
Accessories,Caribbean,0.95,6.666666666666667,3.0686587732536617,2.72,24.98999977,220,2.298948353242808,2.590476190476191,3.7814335370055474,6.3719097274817385,2.2688601222033284,2.7960561322993662,0.7394169710869797,0.2180723612770129,0.26874400808872406
Accessories,Central Africa,0.95,5.230769230769231,2.9482719841133536,2.8095238095238093,24.98999977,68,2.322765801891616,2.0994243851386707,3.820609753800269,5.92003413893894,2.2923658522801613,2.8256100836066493,0.7395704522808388,0.22033162354321956,0.27158459745938407
Accessories,Central America,0.99,22.80555555555556,9.37113941675472,2.892857142857143,24.98999977,821,7.6427552841966255,9.424744897959185,17.77970750720522,27.204452405164403,10.667824504323132,9.248345437911569,0.520162968606974,1.025342045805521,0.8889082706395796
Accessories,East Africa,0.95,4.714285714285714,3.291681156364455,3.15,24.98999977,66,2.4662796263513007,2.1214285714285714,4.0566689884804585,6.17809755990903,2.434001393088275,3.0241811215875525,0.7454838267985838,0.23394497789790647,0.2906703289727357
Accessories,East of USA,0.95,11.285714285714286,7.043740889206935,2.935897435897436,24.98999977,237,5.163522726261598,4.73338566195709,8.493239084137743,13.226624746094831,5.095943450482646,6.269656176954796,0.7381937697555477,0.48979856021343976,0.6026104093079979
Accessories,Eastern Asia,0.95,9.047619047619047,4.488609923753573,2.571428571428572,24.98999977,190,3.5674780130316432,3.3236151603498545,5.8679791488047295,9.191594309154585,3.5207874892828377,4.289531303657305,0.7310065688510593,0.3384018405669115,0.4122899472761687
Accessories,Eastern Europe,0.95,9.11111111111111,6.406695843723731,3.1372549019607843,24.989999770000004,164,4.967704287929083,4.083411142234672,8.171146415622532,12.254557557857204,4.902687849373519,6.036888754935542,0.7388056030171638,0.4712237239547157,0.5802378792205954
Accessories,North Africa,0.95,7.368421052631579,4.560829923450695,2.5365853658536586,24.98999977,140,2.960286965667214,2.670089858793325,4.869238752294885,7.53932861108821,2.921543251376931,3.631449510333298,0.7457940953545945,0.28080525069213297,0.349038163184599
Accessories,Northern Europe,0.95,8.238095238095237,5.8472622816559365,3.0689655172413794,24.98999977,173,4.323631127978061,3.611775744780671,7.111740342454998,10.72351608723567,4.267044205472999,5.190381091116685,0.7298327612063726,0.4101285912051927,0.49887547028160895
